Entity,Code,Year,Primary Energy Consumption (terawatt-hours)
Austria,AUT,2002,394.27700044478337
Austria,AUT,2003,400.82299616835684
Austria,AUT,2004,407.8726918456341
Austria,AUT,2005,415.61009258325055
Austria,AUT,2006,412.019809690755
Austria,AUT,2007,403.1952774140121
Austria,AUT,2008,412.16756107432354
Austria,AUT,2009,399.3929250165941
Austria,AUT,2010,413.5406345743519
Austria,AUT,2011,386.94648631665393
Austria,AUT,2012,406.6191793731444
Austria,AUT,2013,402.988473315234
Austria,AUT,2014,387.780423025891
Austria,AUT,2015,388.73357131081985
Austria,AUT,2016,401.96892575875705
Austria,AUT,2017,413.13350381086474
Austria,AUT,2018,407.0015428771737
Azerbaijan,AZE,1985,234.30933747653486
Azerbaijan,AZE,1986,252.33484620205385
Azerbaijan,AZE,1987,244.52614642874866
Azerbaijan,AZE,1988,244.74513137425663
Azerbaijan,AZE,1989,249.5809204407419
Azerbaijan,AZE,1990,259.7631595415488
Azerbaijan,AZE,1991,249.5409301849855
Azerbaijan,AZE,1992,213.64027007205814
Azerbaijan,AZE,1993,185.05423505429906
Azerbaijan,AZE,1994,170.14147352498122
Azerbaijan,AZE,1995,160.01541053123984
Azerbaijan,AZE,1996,131.14806528711676
Azerbaijan,AZE,1997,125.5094601815615
Azerbaijan,AZE,1998,125.92810223653031
Azerbaijan,AZE,1999,125.51847281587396
Azerbaijan,AZE,2000,131.04665769096354
Azerbaijan,AZE,2001,126.38319234354567
Azerbaijan,AZE,2002,124.7272766467425
Azerbaijan,AZE,2003,134.93369921091386
Azerbaijan,AZE,2004,153.06171848888943
Azerbaijan,AZE,2005,165.9875936730996
Azerbaijan,AZE,2006,163.39234936725117
Azerbaijan,AZE,2007,147.84133547055725
Azerbaijan,AZE,2008,149.318129321704
Azerbaijan,AZE,2009,131.9547731857396
Azerbaijan,AZE,2010,130.22023198255624
Azerbaijan,AZE,2011,144.88177414190224
Azerbaijan,AZE,2012,149.2597687910025
Azerbaijan,AZE,2013,153.46907910970506
Azerbaijan,AZE,2014,156.52301409472153
Azerbaijan,AZE,2015,171.17589233914003
Azerbaijan,AZE,2016,169.59433924995312
Azerbaijan,AZE,2017,166.37837289701721
Azerbaijan,AZE,2018,167.43452350295271
Bangladesh,BGD,1971,8.135291666666673
Bangladesh,BGD,1972,15.862670413567232
Bangladesh,BGD,1973,19.574157651578947
Bangladesh,BGD,1974,20.241851298654993
Bangladesh,BGD,1975,22.954495181052653
Bangladesh,BGD,1976,26.335063667777813
Bangladesh,BGD,1977,27.046376241111076
Bangladesh,BGD,1978,29.142202096257346
Bangladesh,BGD,1979,32.27539645877189
Bangladesh,BGD,1980,36.38836300409356
Bangladesh,BGD,1981,36.636313649431635
Bangladesh,BGD,1982,40.47115710298066
Bangladesh,BGD,1983,39.9747705143801
Bangladesh,BGD,1984,43.15062931487976
Bangladesh,BGD,1985,48.033625221542714
Bangladesh,BGD,1986,52.390141110662974
Bangladesh,BGD,1987,57.81630957559498
Bangladesh,BGD,1988,64.35672046051529
Bangladesh,BGD,1989,69.31486952222478
Bangladesh,BGD,1990,73.56874053143896
Bangladesh,BGD,1991,70.98191547847806
Bangladesh,BGD,1992,77.451526381883
Bangladesh,BGD,1993,85.23790524568055
Bangladesh,BGD,1994,90.41445194825441
Bangladesh,BGD,1995,106.98757285937943
Bangladesh,BGD,1996,111.96198627857058
